                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                0.59645,                 1.1482,                0.50302,                0.97304,                0.91645,                0.64082,                0.73623,                 0.6352,                0.91237,                0.63797,                0.73421,                0.60685,                 0.5804,                 1.0645,                0.53162,                  1.083,              0.0016832,              0.0016832,              0.0016832
                     26,                0.60754,                 1.1771,                0.50927,                0.97443,                0.92914,                0.62543,                0.74015,                0.63585,                  0.927,                0.62372,                0.73248,                0.60295,                0.57552,                 1.0593,                 0.5059,                  1.084,                0.00167,                0.00167,                0.00167
                     27,                0.58634,                 1.1322,                0.49607,                0.96456,                0.89478,                0.63996,                0.73351,                0.62785,                0.89949,                0.63113,                0.72375,                0.58775,                0.53777,                   1.09,                0.50492,                 1.0751,              0.0016568,              0.0016568,              0.0016568
                     28,                0.59491,                 1.1474,                0.49693,                0.97112,                0.91956,                0.63868,                0.74138,                 0.6322,                0.91988,                0.63284,                0.72986,                0.59349,                0.54782,                 1.1285,                0.50061,                 1.0748,              0.0016436,              0.0016436,              0.0016436
                     29,                 0.5897,                 1.1908,                0.49351,                0.97137,                0.91153,                0.64652,                0.75134,                0.64461,                0.93497,                0.63227,                0.74126,                0.60955,                0.53429,                 1.0765,                0.49157,                 1.0664,              0.0016304,              0.0016304,              0.0016304
                     30,                0.60001,                 1.1288,                0.49701,                0.96612,                0.94776,                0.63626,                0.75575,                0.64269,                0.93253,                0.63827,                0.75026,                0.61288,                0.54612,                 1.0531,                0.48922,                 1.0666,              0.0016172,              0.0016172,              0.0016172
                     31,                0.59149,                 1.1195,                0.48928,                0.96398,                0.88291,                0.64053,                0.73855,                0.63313,                0.87843,                0.63443,                0.73116,                  0.603,                0.53857,                 1.0709,                0.49541,                 1.0704,               0.001604,               0.001604,               0.001604
                     32,                0.59025,                 1.1031,                0.48883,                0.97037,                0.92338,                0.65393,                0.74271,                0.63118,                0.91418,                0.65393,                0.73881,                0.60172,                0.54785,                 1.0889,                0.52696,                 1.0742,              0.0015908,              0.0015908,              0.0015908
                     33,                0.57245,                 1.0855,                0.47691,                0.96295,                0.91252,                0.64424,                0.74399,                0.64013,                0.90556,                0.64595,                 0.7341,                0.60363,                 0.5537,                 1.0456,                0.50056,                 1.0683,              0.0015776,              0.0015776,              0.0015776
                     34,                0.57615,                 1.1019,                0.48217,                0.96485,                0.92121,                0.64538,                0.74816,                0.64451,                0.93289,                0.63404,                0.73623,                0.61412,                 0.5243,                  1.016,                0.47639,                  1.066,              0.0015644,              0.0015644,              0.0015644
                     35,                0.57722,                 1.0763,                0.48361,                0.96347,                0.93799,                0.63569,                0.74943,                0.64685,                 0.9433,                0.63056,                0.73934,                0.61362,                 0.5294,                 1.0187,                0.47864,                 1.0596,              0.0015512,              0.0015512,              0.0015512
                     36,                 0.5767,                 1.1067,                0.47835,                0.96419,                0.93545,                0.64444,                0.75376,                0.64813,                0.93965,                0.63512,                0.74468,                0.61687,                0.52782,                 0.9939,                0.49454,                 1.0633,               0.001538,               0.001538,               0.001538
                     37,                0.58098,                  1.095,                0.47722,                0.96476,                0.90466,                0.64917,                0.74821,                 0.6432,                0.89056,                0.64253,                0.73952,                 0.6086,                0.53997,                0.97998,                0.48236,                 1.0681,              0.0015248,              0.0015248,              0.0015248
                     38,                0.57457,                 1.1063,                0.47657,                 0.9629,                0.90692,                0.65564,                0.75531,                0.65189,                0.90078,                0.65336,                0.75238,                0.62055,                0.51703,                0.97158,                0.48007,                 1.0655,              0.0015116,              0.0015116,              0.0015116
                     39,                0.56349,                 1.0822,                0.46824,                0.95793,                0.93948,                0.64606,                0.75902,                0.65377,                0.93775,                0.64419,                0.75175,                0.62325,                0.51637,                 1.0067,                0.45068,                 1.0603,              0.0014984,              0.0014984,              0.0014984
                     40,                0.56955,                 1.1188,                  0.472,                0.96424,                 0.9311,                0.65485,                 0.7579,                 0.6533,                0.92565,                0.64766,                0.74868,                0.62342,                0.52674,                0.99489,                0.47393,                 1.0653,              0.0014852,              0.0014852,              0.0014852
                     41,                0.56055,                 1.0429,                0.47427,                0.95966,                0.91569,                 0.6642,                0.76113,                0.65284,                0.90158,                0.65285,                0.74857,                0.61887,                0.51072,                0.97722,                0.48407,                 1.0582,               0.001472,               0.001472,               0.001472
                     42,                0.56204,                 1.0748,                 0.4634,                0.95819,                0.92747,                0.66344,                0.76232,                0.66021,                0.92584,                0.65279,                0.74902,                0.62867,                 0.4968,                0.95157,                0.45226,                 1.0481,              0.0014588,              0.0014588,              0.0014588
                     43,                  0.575,                 1.0896,                0.46771,                0.96303,                0.91509,                0.66362,                0.76271,                0.65515,                0.90401,                0.66045,                0.76251,                0.63272,                0.52028,                 0.9738,                0.47078,                 1.0666,              0.0014456,              0.0014456,              0.0014456
                     44,                0.55694,                 1.0551,                0.45943,                0.95469,                0.93321,                0.65317,                0.76768,                0.66178,                0.93024,                 0.6488,                0.75535,                0.62791,                0.50506,                0.96223,                0.46081,                 1.0555,              0.0014324,              0.0014324,              0.0014324
                     45,                0.56115,                 1.0417,                0.45878,                0.95844,                0.90743,                0.66933,                0.76291,                0.65874,                0.90213,                0.66819,                0.75753,                0.62723,                0.51835,                 0.9468,                 0.4615,                 1.0614,              0.0014192,              0.0014192,              0.0014192
                     46,                0.55485,                 1.0455,                0.45488,                0.95491,                0.90718,                0.66866,                0.76527,                0.66342,                0.90522,                0.65621,                0.75405,                 0.6272,                0.51348,                 1.0162,                0.45827,                 1.0555,               0.001406,               0.001406,               0.001406
