epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,2272.16,0.56296,1.09657,0.54393,0.98405,0.86677,0.70474,0.80961,0.69085,0.86976,0.70814,0.80931,0.67216,0.576,1.10728,0.59694,0.71674,0.0016172,0.0016172,0.0016172
31,2339.46,0.55038,1.10385,0.53285,0.98196,0.88871,0.68746,0.80245,0.68819,0.88885,0.69298,0.79862,0.66034,0.58231,1.09225,0.6233,0.7178,0.001604,0.001604,0.001604
32,2407.08,0.55348,1.06362,0.53577,0.98545,0.8748,0.68915,0.79719,0.69312,0.87488,0.69099,0.79435,0.66319,0.57273,1.06384,0.63921,0.71186,0.0015908,0.0015908,0.0015908
33,2478.5,0.53954,1.06369,0.5247,0.97664,0.8759,0.70468,0.80311,0.69091,0.88836,0.69954,0.7989,0.66458,0.57194,1.02122,0.64252,0.71558,0.0015776,0.0015776,0.0015776
34,2550.83,0.53987,1.05281,0.52301,0.97659,0.91296,0.68772,0.81264,0.70619,0.90039,0.68529,0.80293,0.67095,0.54047,1.05515,0.57436,0.68651,0.0015644,0.0015644,0.0015644
35,2621.44,0.54149,1.02901,0.52475,0.9805,0.89333,0.68758,0.80509,0.70084,0.8916,0.69213,0.80269,0.66993,0.56098,1.09639,0.61259,0.70662,0.0015512,0.0015512,0.0015512
36,2694.59,0.54203,1.05236,0.52347,0.98046,0.919,0.70239,0.80853,0.70421,0.9325,0.69726,0.80443,0.676,0.56612,1.08222,0.60527,0.72367,0.001538,0.001538,0.001538
37,2764.27,0.54436,1.0691,0.52032,0.9796,0.91706,0.69345,0.81882,0.71263,0.91856,0.69555,0.81536,0.68614,0.53869,1.02003,0.58124,0.69158,0.0015248,0.0015248,0.0015248
38,2841.6,0.53676,1.04086,0.51767,0.97573,0.87068,0.70628,0.81207,0.7041,0.87301,0.70549,0.80714,0.67729,0.53796,1.04738,0.572,0.69941,0.0015116,0.0015116,0.0015116
39,2916.74,0.53246,1.0657,0.51027,0.97324,0.88074,0.7138,0.82046,0.70789,0.87739,0.71494,0.81172,0.677,0.55067,1.04033,0.58105,0.69665,0.0014984,0.0014984,0.0014984
