                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 0.6311,                0.64162,                 1.1616,                0.90039,                0.69574,                 0.7901,                0.67487,                 0.5977,                0.69537,                0.90197,               0.001307,               0.001307,               0.001307
                     37,                0.62662,                 0.6339,                 1.1629,                0.89674,                0.68244,                0.79381,                0.67278,                0.60652,                0.65274,                0.90404,              0.0012872,              0.0012872,              0.0012872
                     38,                0.62687,                0.63959,                 1.1612,                0.91606,                0.68643,                0.79247,                 0.6821,                0.58608,                0.66056,                0.88702,              0.0012674,              0.0012674,              0.0012674
                     39,                0.62156,                0.62659,                  1.155,                0.87908,                0.70011,                0.80165,                0.68664,                0.59131,                0.66516,                0.88929,              0.0012476,              0.0012476,              0.0012476
                     40,                0.62168,                0.62961,                 1.1572,                0.88774,                0.69213,                0.78715,                0.67657,                0.58151,                0.70338,                 0.8804,              0.0012278,              0.0012278,              0.0012278
                     41,                0.60038,                0.61519,                 1.1432,                0.89278,                0.70125,                0.80576,                0.69275,                0.57028,                0.62386,                0.86355,               0.001208,               0.001208,               0.001208
                     42,                0.60757,                0.61403,                 1.1438,                0.90458,                0.69184,                0.79639,                0.68393,                0.59812,                  0.687,                0.89452,              0.0011882,              0.0011882,              0.0011882
                     43,                0.61619,                0.61505,                 1.1496,                0.89661,                0.69612,                 0.7995,                0.68586,                0.59407,                0.65174,                0.88322,              0.0011684,              0.0011684,              0.0011684
                     44,                0.60582,                0.60767,                 1.1384,                0.89622,                0.70409,                 0.8018,                0.68949,                0.58368,                0.65806,                0.87838,              0.0011486,              0.0011486,              0.0011486
                     45,                0.60511,                0.60367,                 1.1427,                0.88592,                0.71282,                0.80475,                0.68687,                0.56837,                0.64749,                0.86743,              0.0011288,              0.0011288,              0.0011288
                     46,                0.59823,                 0.6012,                 1.1416,                0.87779,                 0.7252,                0.81563,                0.69738,                0.57969,                0.61735,                 0.8707,               0.001109,               0.001109,               0.001109
                     47,                0.58874,                 0.5964,                 1.1306,                0.92304,                0.69042,                0.80136,                0.69287,                0.56836,                0.63209,                0.85965,              0.0010892,              0.0010892,              0.0010892
                     48,                0.58573,                0.59087,                 1.1272,                0.88538,                0.71347,                0.81001,                0.70199,                0.56263,                0.60508,                0.86655,              0.0010694,              0.0010694,              0.0010694
                     49,                 0.5846,                0.58234,                 1.1267,                0.92114,                0.69213,                0.80442,                0.69123,                0.56919,                0.63552,                0.86717,              0.0010496,              0.0010496,              0.0010496
                     50,                0.58368,                0.57973,                 1.1285,                0.88158,                 0.7195,                0.81708,                  0.703,                0.56573,                0.61908,                0.86248,              0.0010298,              0.0010298,              0.0010298
                     51,                0.57982,                  0.588,                 1.1262,                0.90137,                0.71095,                 0.7908,                0.68651,                0.56413,                0.69353,                0.86764,                0.00101,                0.00101,                0.00101
                     52,                0.57009,                0.56825,                 1.1174,                0.89617,                0.71152,                0.79705,                 0.6901,                0.56296,                0.67308,                0.86362,              0.0009902,              0.0009902,              0.0009902
                     53,                0.57834,                0.57325,                 1.1229,                0.89568,                0.71437,                  0.806,                0.70408,                0.55224,                0.62923,                0.85405,              0.0009704,              0.0009704,              0.0009704
                     54,                0.57185,                 0.5733,                 1.1158,                0.90377,                 0.7041,                 0.8142,                0.70476,                0.55716,                0.60438,                0.85811,              0.0009506,              0.0009506,              0.0009506
                     55,                0.58237,                0.57795,                  1.123,                0.90593,                0.70981,                0.81959,                0.71273,                0.54287,                0.58775,                0.84643,              0.0009308,              0.0009308,              0.0009308
                     56,                0.57241,                0.56647,                 1.1149,                0.90068,                0.72383,                0.81052,                0.70737,                0.55063,                0.61993,                0.84871,               0.000911,               0.000911,               0.000911
                     57,                0.56481,                0.55856,                 1.1128,                0.89576,                0.71039,                0.81468,                0.70849,                0.53751,                0.60263,                0.84489,              0.0008912,              0.0008912,              0.0008912
                     58,                0.56075,                0.54732,                 1.1087,                 0.9043,                0.72188,                0.80917,                 0.7017,                0.54443,                0.61829,                0.84375,              0.0008714,              0.0008714,              0.0008714
                     59,                 0.5655,                  0.549,                 1.1062,                0.91992,                0.71608,                0.81905,                0.71326,                0.54375,                0.58423,                0.83814,              0.0008516,              0.0008516,              0.0008516
                     60,                0.55987,                0.55229,                 1.1068,                0.90675,                0.71437,                0.81979,                0.71066,                0.53724,                0.60342,                0.83295,              0.0008318,              0.0008318,              0.0008318
                     61,                0.56768,                0.55841,                 1.1056,                0.89034,                0.72214,                0.82304,                0.71187,                0.54853,                0.58565,                0.85074,               0.000812,               0.000812,               0.000812
                     62,                0.55373,                0.54561,                 1.1011,                0.91729,                0.70981,                0.82815,                0.72165,                0.53068,                 0.5696,                0.82992,              0.0007922,              0.0007922,              0.0007922
                     63,                0.54682,                0.53964,                 1.1017,                0.89558,                0.72368,                0.82802,                0.71802,                0.53693,                0.55978,                0.83778,              0.0007724,              0.0007724,              0.0007724
                     64,                0.55051,                0.53274,                 1.1002,                0.89952,                0.71893,                0.82572,                0.72182,                0.52154,                0.57208,                0.82246,              0.0007526,              0.0007526,              0.0007526
                     65,                 0.5471,                0.53964,                 1.0987,                0.92295,                0.71095,                0.83063,                0.72414,                0.52805,                0.56966,                 0.8399,              0.0007328,              0.0007328,              0.0007328
                     66,                0.54114,                0.53151,                 1.0944,                0.91468,                0.71514,                0.82629,                0.71932,                0.52369,                0.57043,                0.83472,               0.000713,               0.000713,               0.000713
                     67,                0.54876,                0.53758,                 1.0981,                0.91168,                  0.718,                0.83025,                0.72323,                0.53049,                0.58272,                0.83639,              0.0006932,              0.0006932,              0.0006932
                     68,                0.53854,                0.52762,                 1.0938,                0.89826,                 0.7299,                0.83186,                0.72285,                0.53438,                 0.5738,                0.83944,              0.0006734,              0.0006734,              0.0006734
                     69,                0.53106,                0.51802,                 1.0887,                0.89754,                0.72917,                0.83096,                0.72594,                0.51917,                0.56401,                0.82644,              0.0006536,              0.0006536,              0.0006536
                     70,                0.53564,                0.52818,                 1.0924,                0.89096,                0.73717,                0.83471,                0.72707,                0.51774,                0.56232,                0.82395,              0.0006338,              0.0006338,              0.0006338
                     71,                0.53763,                0.52666,                 1.0917,                0.90943,                0.72178,                0.82682,                0.72266,                 0.5151,                0.57435,                0.82048,               0.000614,               0.000614,               0.000614
                     72,                0.54317,                0.52944,                 1.0928,                0.91611,                0.72223,                0.83289,                0.72536,                0.51546,                0.56016,                0.82325,              0.0005942,              0.0005942,              0.0005942
                     73,                0.53618,                0.51976,                 1.0934,                0.90085,                0.72577,                0.83388,                0.72339,                0.53031,                0.57574,                0.83357,              0.0005744,              0.0005744,              0.0005744
                     74,                0.53129,                0.51819,                 1.0911,                0.91604,                0.72064,                0.82898,                0.72571,                0.52429,                 0.5785,                0.82994,              0.0005546,              0.0005546,              0.0005546
                     75,                 0.5251,                0.51618,                 1.0861,                0.90794,                0.72538,                0.83747,                0.73022,                0.52257,                 0.5543,                0.82875,              0.0005348,              0.0005348,              0.0005348
                     76,                0.52712,                0.51287,                 1.0842,                0.89094,                0.73774,                0.83926,                0.73317,                0.50572,                0.54426,                0.81263,               0.000515,               0.000515,               0.000515
                     77,                0.51976,                0.50766,                 1.0787,                0.90602,                0.73318,                0.83748,                0.73311,                  0.509,                0.54703,                0.81513,              0.0004952,              0.0004952,              0.0004952
