                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.94008,                 2.0196,                  1.855,                 1.3266,                0.84721,                0.53136,                0.63063,                0.48726,                0.84972,                0.52566,                  0.612,                 0.4553,                 1.0404,                 2.0061,                 1.6748,                 1.2342,             0.00066379,             0.00066379,             0.00066379
                      2,                0.95956,                 1.7881,                 1.2897,                 1.3229,                 0.8655,                0.51729,                0.62701,                0.48085,                0.86217,                0.50997,                0.61132,                0.43586,                 1.0532,                 2.2866,                   1.22,                  1.253,              0.0011987,              0.0011987,              0.0011987
                      3,                0.91493,                 1.6814,                 1.0795,                 1.2818,                0.84809,                0.58039,                0.67707,                0.51913,                0.84758,                0.57241,                0.65761,                0.48582,                 1.0001,                 1.9081,                 1.1629,                 1.1732,              0.0016017,              0.0016017,              0.0016017
                      4,                0.85966,                 1.5885,                0.97388,                 1.2517,                0.89743,                0.57127,                0.71045,                0.57482,                0.90012,                0.57298,                0.70125,                0.52705,                0.90897,                 1.6768,                0.97559,                 1.0681,               0.001406,               0.001406,               0.001406
                      5,                0.81155,                 1.4931,                 0.8891,                 1.2093,                0.80066,                0.62657,                0.71997,                0.59642,                0.79878,                0.61859,                0.70473,                0.54688,                0.78951,                 1.6206,                0.90405,                 1.0078,               0.001208,               0.001208,               0.001208
                      6,                0.75031,                 1.3932,                 0.8195,                 1.1618,                0.90916,                0.59521,                0.74806,                0.63839,                0.90829,                0.59464,                0.74054,                 0.6125,                0.68711,                 1.2771,                0.79282,                0.88614,                0.00101,                0.00101,                0.00101
                      7,                0.71959,                 1.3148,                 0.7762,                 1.1438,                0.89855,                0.64595,                0.77835,                0.65966,                0.89915,                0.64766,                0.77112,                0.62758,                 0.6781,                 1.2767,                0.76175,                0.89919,               0.000812,               0.000812,               0.000812
                      8,                0.67081,                 1.2444,                0.71158,                 1.1101,                0.91811,                0.67902,                0.80364,                0.69667,                0.91802,                0.67731,                0.79124,                0.66306,                0.60774,                 1.1458,                0.67984,                0.83074,               0.000614,               0.000614,               0.000614
                      9,                0.62975,                 1.1605,                0.65881,                 1.0842,                0.89583,                0.69132,                0.81268,                0.70817,                0.88743,                0.70582,                0.80843,                0.67656,                0.60567,                   1.05,                0.66196,                0.83105,               0.000416,               0.000416,               0.000416
                     10,                0.59081,                 1.1059,                0.61737,                 1.0637,                0.89953,                0.71152,                 0.8275,                0.72146,                0.88059,                 0.7252,                0.82205,                  0.689,                0.55777,                 1.0457,                0.63355,                 0.7967,               0.000218,               0.000218,               0.000218
